Name,mass (kg),cg_x (m),cg_y (m),cg_z (m),L (m),W (m),H (m)
Triple Seat (yellow),56.5191,-7,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-7.4,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-7.8,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-8.2,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-8.6,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-9,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-9.4,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-9.8,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-10.2,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-10.6,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-11,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-11.4,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-11.8,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-12.2,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-12.6,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-13,0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-13.4,0.88,0.325,0.5,1.35,1.3
Double Seat (yellow),36.6626,-13.8,0.88,0.325,0.5,1.11,1.3
Double Seat (yellow),36.6626,-14.2,0.88,0.325,0.5,1.11,1.3
Triple Seat (yellow),56.5191,-7,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-7.4,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-7.8,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-8.2,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-8.6,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-9,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-9.4,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-9.8,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-10.2,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-10.6,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-11,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-11.4,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-11.8,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-12.2,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-12.6,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-13,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-13.4,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-13.8,-0.88,0.325,0.5,1.35,1.3
Triple Seat (yellow),56.5191,-14.2,-0.88,0.325,0.5,1.35,1.3
Toilet (front),250,-6,-1.11,-1.44,1,1.1,2.5
Toilet (back),250,-26,-1.11,-1.44,1,1.1,2.5
Kitchen ,138,-27.75,0.8,-1.195,1.5,1.44,2.01
Emergency Slides,302.5,-6.75,-1.61,-0.76,0.5,0.1,1.14
Lift Rafts,302.5,-25.25,-1.61,-0.76,0.5,0.1,1.14
Ceiling,600,-15.6,0,-2.32,20.2,1.12,0.09
Passenger Service Unit,7.8947,-7.75,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-8.65,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-9.55,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-10.45,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-11.35,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-12.25,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-13.15,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-14.05,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-14.95,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-15.85,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-16.75,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-17.65,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-18.55,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-19.45,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-20.35,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-21.25,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-22.15,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-23.05,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-23.95,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-7.75,-0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-8.65,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-9.55,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-10.45,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-11.35,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-12.25,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-13.15,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-14.05,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-14.95,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-15.85,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-16.75,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-17.65,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-18.55,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-19.45,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-20.35,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-21.25,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-22.15,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-23.05,0.645,-2.125,0.5,0.89,0.39
Passenger Service Unit,7.8947,-23.95,0.645,-2.125,0.5,0.89,0.39
Cabin Bins ,15.27,-8.2,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-9.1,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-10,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-10.9,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-11.8,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-12.7,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-13.6,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-14.5,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-15.4,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-16.3,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-17.2,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-18.1,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-19,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-19.9,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-20.8,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-21.7,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-22.6,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-23.5,-0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-8.2,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-9.1,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-10,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-10.9,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-11.8,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-12.7,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-13.6,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-14.5,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-15.4,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-16.3,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-17.2,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-18.1,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-19,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-19.9,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-20.8,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-21.7,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-22.6,0.645,-2.125,0.4,0.89,0.39
Cabin Bins,15.27,-23.5,0.645,-2.125,0.4,0.89,0.39
Orange Box,305,-18.15,0,-0.31,25.3,3.31,0.24
Salmon Box,1250,-15.6,0,-1.225,20.2,3.31,2.13
